Boarding_House_ID,Location,Room_Type,Price (LKR),Availability,Amenities,Ratings,Proximity_to_Landmark,Query
BD465,Colombo 9,Double,8732,Available,"Air Conditioning, Pool",2,1.6,Show me boarding houses with a rating of 1 stars.
BD466,Colombo 8,Single,14183,Occupied,"Air Conditioning, Pool",1.4,2.1,Are there any boarding houses near Malabe?
BD467,Dehiwala,Single,11373,Occupied,"Wi-Fi, Parking",1.1,6.4,Are there any boarding houses near SLIIT University?
BD468,Borella,Shared,11857,Available,"Air Conditioning, Parking",1.4,3.6,Show me boarding houses with a rating of 1 stars.
BD469,Rajagiriya,Double,11929,Occupied,"Pet-Friendly, Parking, Pool, Air Conditioning",2.4,4.1,Show me boarding houses with a rating of 4 stars.
BD470,Colombo 10,Single,12140,Occupied,"Air Conditioning, Wi-Fi",3.5,7.6,Show me boarding houses with a rating of 4 stars.
BD471,Colombo 6,Single,14246,Occupied,"Laundry, Pool",1.1,5.1,Are there any boarding houses near Weliwita?
BD472,Kirulapone,Double,12085,Occupied,"Wi-Fi, Laundry, Pool, Pet-Friendly",4.3,5.4,Show me boarding houses with a rating of 1 stars.
BD473,Colombo 3,Single,14601,Occupied,"Laundry, Gym, Pet-Friendly",2.6,2.3,Find a boarding house with Air Conditioning and Gym.
BD474,Mount Lavinia,Shared,12949,Occupied,"Pet-Friendly, Air Conditioning",4.6,7.9,Show me boarding houses with a rating of 2 stars.
BD475,Colombo 9,Single,9471,Occupied,"Air Conditioning, Wi-Fi, Pet-Friendly, Pool",4.2,9.9,Show me boarding houses with a rating of 2 stars.
BD476,Colombo 5,Shared,13336,Available,"Laundry, Pool, Parking, Air Conditioning, Pet-Friendly",3.6,1.1,Find a boarding house with Study/Workspace and Wi-Fi.
BD477,Kotte,Double,8359,Available,"Pet-Friendly, Parking, Air Conditioning",3.3,3.7,Are there any boarding houses near Malabe?
BD478,Kaduwela,Single,8981,Available,"Laundry, Gym, Air Conditioning",3.3,9.3,Show me boarding houses with a rating of 5 stars.
BD479,Narahenpita,Single,14772,Available,"Pet-Friendly, Parking, Gym",4.9,1.8,Are there any boarding houses near SLIIT University?
BD480,Hokandara,Shared,13657,Occupied,"Pet-Friendly, Gym",4,4,Show me boarding houses with a rating of 3 stars.
BD481,Wattala,Shared,14623,Available,"Gym, Air Conditioning, Laundry, Parking, Pool",3.2,4.4,Are there any boarding houses near Colombo 1?
BD482,Angoda,Single,12856,Occupied,"Pool, Parking, Gym",4.4,6.2,Show me boarding houses with a rating of 5 stars.
BD483,Pannipitiya,Single,8210,Occupied,"Gym, Air Conditioning, Pet-Friendly, Wi-Fi, Parking",1,7.7,Find a boarding house with Wi-Fi and Air Conditioning.
BD484,Kelaniya,Double,11645,Available,"Wi-Fi, Gym, Parking, Laundry",3.4,3.7,Find a boarding house with Kitchen and Parking.
BD485,Narahenpita,Double,14868,Occupied,"Wi-Fi, Pet-Friendly, Air Conditioning, Gym, Parking",3.6,6.9,Show me boarding houses with a rating of 2 stars.
BD486,Colombo 3,Double,10702,Occupied,"Parking, Laundry",3.6,4,Are there any boarding houses near Horizon Campus?
BD487,Kelaniya,Shared,11094,Occupied,"Gym, Laundry",2.4,1.2,Find a boarding house with Kitchen and Kitchen.
BD488,Pelawatte,Single,10460,Occupied,"Laundry, Pool, Gym",1.8,6.4,Find a boarding house with Laundry and Kitchen.
BD489,Wattala,Double,8844,Available,"Pet-Friendly, Air Conditioning, Wi-Fi, Gym, Laundry",3,3.9,Are there any boarding houses near Angoda?
BD490,Colombo 9,Shared,14822,Occupied,"Laundry, Air Conditioning, Parking, Wi-Fi",1.1,8.2,Are there any boarding houses near Horizon Campus?
BD491,Colombo 7,Double,10827,Occupied,"Laundry, Pet-Friendly, Air Conditioning, Wi-Fi",3,2,Show me boarding houses with a rating of 2 stars.
BD492,Pelawatte,Single,11762,Occupied,"Wi-Fi, Pool",3.9,2.8,Show me boarding houses with a rating of 5 stars.
BD493,Colombo 5,Single,12394,Occupied,"Wi-Fi, Laundry",4.7,4.8,Show me boarding houses with a rating of 5 stars.
BD494,Dehiwala,Shared,8883,Occupied,"Pet-Friendly, Laundry, Parking, Gym",4.6,9.7,Find a boarding house with Wi-Fi and Laundry.
BD495,Hokandara,Double,12053,Available,"Wi-Fi, Air Conditioning, Pool, Gym, Laundry",1.8,1.2,Find a boarding house with Wi-Fi and Parking.
BD496,Dehiwala,Single,11310,Available,"Parking, Laundry, Pet-Friendly",2.1,1.8,Show me boarding houses with a rating of 2 stars.
BD497,Hokandara,Shared,13761,Available,"Pool, Air Conditioning, Pet-Friendly, Gym, Laundry",3.1,4.8,Are there any boarding houses near Malabe?
BD498,Nugegoda,Shared,14681,Available,"Wi-Fi, Pool, Pet-Friendly",4.4,0.6,Show me boarding houses with a rating of 5 stars.
BD499,Pannipitiya,Single,9741,Occupied,"Pet-Friendly, Laundry, Air Conditioning",1.6,0.6,Find a boarding house with Air Conditioning and Kitchen.
BD500,Nugegoda,Shared,9106,Available,"Wi-Fi, Air Conditioning, Laundry, Pool, Gym",3.2,3.7,Are there any boarding houses near Colombo?
BD501,Nugegoda,Shared,14032,Occupied,"Parking, Air Conditioning",2.8,6.4,Are there any boarding houses near NSBM?
BD502,Angoda,Single,12128,Available,"Gym, Laundry, Wi-Fi, Parking",4.4,1.1,Are there any boarding houses near Kotte?
BD503,Talangama,Single,10310,Available,"Wi-Fi, Air Conditioning, Gym",2.5,6.4,Show me boarding houses with a rating of 1 stars.
BD504,Colombo 9,Shared,14183,Available,"Pool, Parking, Gym, Wi-Fi, Pet-Friendly",1.8,4.9,Find a boarding house with Laundry and Laundry.
BD505,Kelaniya,Single,9107,Available,"Laundry, Pool, Gym, Air Conditioning, Parking",4.3,9.2,Find a boarding house with Attach Bathroom and Laundry.
BD506,Colombo 6,Shared,10846,Occupied,"Gym, Pool, Parking, Air Conditioning",3.7,6.6,Are there any boarding houses near Colombo 1?
BD507,Thimbirigasyaya,Shared,14736,Available,"Parking, Pool, Pet-Friendly, Wi-Fi, Gym",4.5,1.6,Are there any boarding houses near Pittugala?
BD508,Nawala,Single,13052,Available,"Parking, Pool, Gym, Laundry, Pet-Friendly",1.9,7.8,Are there any boarding houses near Horizon Campus?
BD509,Colombo 6,Double,14060,Occupied,"Gym, Parking, Pet-Friendly, Pool",2.9,5.7,Show me boarding houses with a rating of 1 stars.
BD510,Pelawatte,Double,10346,Occupied,"Gym, Pool",2.4,8.6,Find a boarding house with Attach Bathroom and Kitchen.
BD511,Wellawatte,Single,10623,Occupied,"Pet-Friendly, Pool",2.1,5,Are there any boarding houses near Colombo 1?
BD512,Malabe,Double,14811,Available,"Parking, Laundry, Wi-Fi, Gym",3.2,8.9,Find a boarding house with Study/Workspace and Study/Workspace.
BD513,Ethul Kotte,Shared,14521,Available,"Pool, Air Conditioning",1.3,6.7,Are there any boarding houses near Horizon Campus?
BD514,Kalubowila,Double,14671,Occupied,"Pet-Friendly, Wi-Fi, Pool, Gym",1.8,4.3,Show me boarding houses with a rating of 3 stars.
BD515,Kelaniya,Shared,8023,Available,"Parking, Air Conditioning",4.7,8.9,Show me boarding houses with a rating of 1 stars.
BD516,Colombo 6,Shared,9461,Occupied,"Air Conditioning, Pool, Parking",1.9,3.1,Show me boarding houses with a rating of 5 stars.
BD517,Colombo 2,Shared,12724,Available,"Gym, Laundry, Pet-Friendly",3.3,1.2,Show me boarding houses with a rating of 1 stars.
BD518,Ethul Kotte,Double,14494,Available,"Pet-Friendly, Laundry, Air Conditioning, Parking, Wi-Fi",3.2,4.9,Are there any boarding houses near Mount Lavinia?
BD519,Moratuwa,Single,8320,Occupied,"Pool, Parking, Wi-Fi, Pet-Friendly",2.1,7.9,Find a boarding house with Kitchen and Gym.
BD520,Borella,Double,14417,Occupied,"Laundry, Parking, Air Conditioning, Pet-Friendly",4.3,1.7,Find a boarding house with Attach Bathroom and Laundry.
BD521,Kalubowila,Double,14635,Available,"Wi-Fi, Laundry, Pet-Friendly, Pool",1.2,2.7,Find a boarding house with Gym and Wi-Fi.
BD522,Malabe,Shared,11843,Available,"Laundry, Parking, Pet-Friendly",1.8,3.7,Are there any boarding houses near Pittugala?
BD523,Dehiwala,Single,10798,Occupied,"Parking, Gym, Air Conditioning, Wi-Fi",2.4,3.5,Find a boarding house with Air Conditioning and Study/Workspace.
BD524,Pelawatte,Shared,13347,Occupied,"Wi-Fi, Pet-Friendly, Air Conditioning, Laundry",2.4,2.4,Show me boarding houses with a rating of 4 stars.
BD525,Narahenpita,Single,10399,Available,"Air Conditioning, Parking, Laundry, Pet-Friendly, Wi-Fi",4.2,2.4,Show me boarding houses with a rating of 5 stars.
BD526,Colombo 4,Shared,9782,Available,"Pool, Parking, Laundry, Wi-Fi, Air Conditioning",4.9,9.4,Find a boarding house with Parking and Kitchen.
BD527,Borella,Shared,11497,Available,"Pet-Friendly, Air Conditioning, Gym",2.7,7.5,Show me boarding houses with a rating of 1 stars.
BD528,Colombo 10,Shared,11510,Available,"Parking, Pool, Gym",1.8,4.2,Show me boarding houses with a rating of 1 stars.
BD529,Kelaniya,Single,8944,Occupied,"Wi-Fi, Gym, Laundry, Parking",5,1.2,Show me boarding houses with a rating of 2 stars.
BD530,Maharagama,Shared,10638,Occupied,"Gym, Pool, Parking, Air Conditioning, Pet-Friendly",2.7,6.9,Find a boarding house with Laundry and Wi-Fi.
BD531,Colombo 5,Double,12954,Available,"Pool, Parking, Air Conditioning",2.7,7.6,Show me boarding houses with a rating of 3 stars.
BD532,Kotte,Shared,9000,Available,"Laundry, Parking",1.4,3.2,Are there any boarding houses near Colombo?
BD533,Colombo 2,Single,14910,Available,"Parking, Air Conditioning, Gym, Wi-Fi, Pet-Friendly",1.8,3.1,Are there any boarding houses near NSBM?
BD534,Pannipitiya,Shared,11742,Occupied,"Air Conditioning, Pool, Gym, Parking, Laundry",3.2,7.3,Give me details about Attach Bathroom.
BD535,Hokandara,Shared,8666,Occupied,"Parking, Gym, Wi-Fi, Air Conditioning",1.4,1.1,Find a boarding house with Parking and Laundry.
BD536,Malabe,Double,10314,Available,"Air Conditioning, Gym, Pet-Friendly",3.8,3.8,Show me boarding houses with a rating of 3 stars.
BD537,Nawala,Shared,10691,Occupied,"Gym, Laundry",4.5,8.2,Show me boarding houses with a rating of 2 stars.
BD538,Kelaniya,Shared,12737,Occupied,"Air Conditioning, Pet-Friendly, Laundry",4.6,1.2,Show me boarding houses with a rating of 1 stars.
BD539,Ethul Kotte,Shared,10751,Available,"Laundry, Gym, Parking, Air Conditioning, Wi-Fi",4.2,5.1,Show me boarding houses with a rating of 2 stars.
BD540,Talangama,Single,11377,Available,"Pool, Gym, Laundry, Parking, Pet-Friendly",3.2,6,Are there any boarding houses near Kotte?
BD541,Kesbewa,Double,13573,Occupied,"Wi-Fi, Air Conditioning, Laundry, Pool",2.7,2.6,Are there any boarding houses near Colombo 1?
BD542,Kiribathgoda,Single,9828,Occupied,"Pool, Laundry",4.7,2.1,Show me boarding houses with a rating of 1 stars.
BD543,Thalawathugoda,Double,10841,Occupied,"Parking, Laundry",4.4,9.6,Are there any boarding houses near Malabe?
BD544,Nugegoda,Single,12310,Occupied,"Laundry, Wi-Fi, Air Conditioning",2.6,3.8,Find a boarding house with Kitchen and Air Conditioning.
BD545,Kotte,Shared,13470,Available,"Gym, Air Conditioning",3.9,4.6,Find a boarding house with Parking and Air Conditioning.
BD546,Colombo 10,Double,14801,Occupied,"Air Conditioning, Laundry, Gym, Pet-Friendly, Parking",4.4,0.7,Are there any boarding houses near Pittugala?
BD547,Ethul Kotte,Double,9590,Available,"Pool, Air Conditioning",3.9,7.1,Are there any boarding houses near Thalahena?
BD548,Kesbewa,Double,10193,Occupied,"Pet-Friendly, Air Conditioning, Gym",2.7,7.5,Find a boarding house with Study/Workspace and Study/Workspace.
BD549,Nawala,Shared,11178,Available,"Pool, Wi-Fi, Parking, Air Conditioning, Pet-Friendly",4.8,0.7,Show me boarding houses with a rating of 2 stars.
BD550,Borella,Double,14594,Occupied,"Pool, Pet-Friendly",4.1,8.3,Are there any boarding houses near Colombo?
BD551,Angoda,Shared,14924,Occupied,"Gym, Laundry, Pet-Friendly, Parking",2.8,2.7,Find a boarding house with Attach Bathroom and Study/Workspace.
BD552,Narahenpita,Double,14847,Available,"Air Conditioning, Pet-Friendly, Pool, Parking, Laundry",2.7,3.5,Find a boarding house with Kitchen and Study/Workspace.
BD553,Colombo 3,Double,12206,Occupied,"Laundry, Wi-Fi",1.2,8.2,Find a boarding house with Study/Workspace and Air Conditioning.
BD554,Kirulapone,Single,11876,Available,"Parking, Pool, Laundry",1.9,6.2,Find a boarding house with Laundry and Kitchen.
BD555,Malabe,Shared,14591,Occupied,"Laundry, Pet-Friendly, Air Conditioning, Pool",4.8,9.1,Are there any boarding houses near Colombo 3?
BD556,Malabe,Double,9069,Occupied,"Air Conditioning, Wi-Fi, Pet-Friendly, Laundry",3.8,7.3,Find a boarding house with Gym and Parking.
BD557,Thimbirigasyaya,Single,9078,Available,"Wi-Fi, Gym, Laundry",1.6,2.2,Show me boarding houses with a rating of 1 stars.
BD558,Kohuwala,Single,13006,Occupied,"Parking, Air Conditioning, Wi-Fi, Pool, Gym",3.2,8.6,Find a boarding house with Attach Bathroom and Gym.
BD559,Kolonnawa,Shared,8707,Available,"Air Conditioning, Wi-Fi, Pet-Friendly, Laundry",1.4,0.9,Find a boarding house with Laundry and Wi-Fi.
BD560,Nugegoda,Single,11780,Occupied,"Pool, Parking, Wi-Fi, Gym, Air Conditioning",5,4.7,Find a boarding house with Laundry and Laundry.
BD561,Pannipitiya,Single,12762,Occupied,"Pool, Wi-Fi, Gym, Air Conditioning, Laundry",2.8,7.8,Are there any boarding houses near Battaramulla?
BD562,Mount Lavinia,Shared,10012,Available,"Parking, Air Conditioning",2.2,4.2,Are there any boarding houses near Angoda?
BD563,Dehiwala,Single,13315,Available,"Pool, Laundry, Air Conditioning, Wi-Fi",1.9,9.1,Find a boarding house with Gym and Parking.
BD564,Ethul Kotte,Shared,11763,Occupied,"Wi-Fi, Laundry, Pool, Air Conditioning, Parking",4.6,8.3,Show me boarding houses with a rating of 3 stars.
BD565,Ratmalana,Single,8550,Occupied,"Parking, Laundry, Pool",4.6,0.5,Are there any boarding houses near SLIIT University?
BD566,Talangama,Double,11641,Occupied,"Parking, Air Conditioning, Pool",4.3,5.1,Show me boarding houses with a rating of 2 stars.
BD567,Kolonnawa,Double,8909,Occupied,"Parking, Pool, Wi-Fi, Laundry",1.6,4.7,Show me boarding houses with a rating of 1 stars.
BD568,Moratuwa,Shared,11745,Occupied,"Wi-Fi, Gym, Parking, Pet-Friendly, Air Conditioning",1.5,9.9,Are there any boarding houses near Horizon Campus?
BD569,Maharagama,Single,10993,Occupied,"Parking, Air Conditioning",4.7,7.5,Find a boarding house with Laundry and Laundry.
BD570,Colombo 2,Double,10799,Available,"Air Conditioning, Pet-Friendly, Parking, Gym",4,3.9,Find a boarding house with Study/Workspace and Laundry.
BD571,Colombo 10,Single,10921,Occupied,"Wi-Fi, Gym",1.9,9.8,Find a boarding house with Attach Bathroom and Air Conditioning.
BD572,Nugegoda,Shared,8816,Occupied,"Parking, Gym, Pet-Friendly, Laundry",4.7,9.4,Find a boarding house with Laundry and Attach Bathroom.
BD573,Kalubowila,Single,14976,Occupied,"Wi-Fi, Parking, Air Conditioning, Laundry",1.9,7.9,Find a boarding house with Air Conditioning and Study/Workspace.
BD574,Ethul Kotte,Shared,8918,Occupied,"Air Conditioning, Parking, Wi-Fi",4.2,4.8,Are there any boarding houses near Colombo?
BD575,Kotte,Single,13684,Available,"Pet-Friendly, Parking, Wi-Fi, Air Conditioning",1.8,5.9,Are there any boarding houses near Colombo 1?
BD576,Colombo 7,Shared,12754,Available,"Pool, Air Conditioning, Parking, Gym, Pet-Friendly",4.9,2,Show me boarding houses with a rating of 5 stars.
BD577,Colombo 10,Double,10323,Occupied,"Air Conditioning, Pet-Friendly, Laundry, Parking, Pool",1.8,8.4,Are there any boarding houses near Colombo 1?
BD578,Mount Lavinia,Single,14947,Occupied,"Air Conditioning, Wi-Fi, Pool",4.9,5,Are there any boarding houses near Angoda?
BD579,Piliyandala,Double,9799,Available,"Pet-Friendly, Laundry, Wi-Fi, Air Conditioning",2.8,9.2,Find a boarding house with Study/Workspace and Parking.
BD580,Kolonnawa,Shared,9363,Available,"Parking, Pool, Pet-Friendly, Air Conditioning",4.4,9.7,Are there any boarding houses near NSBM?
BD581,Hokandara,Double,11004,Occupied,"Pool, Air Conditioning, Parking, Gym",1.3,4.6,Show me boarding houses with a rating of 1 stars.
BD582,Wattala,Double,11845,Available,"Pet-Friendly, Wi-Fi, Laundry, Pool",4.9,7.1,Find a boarding house with Study/Workspace and Kitchen.
BD583,Colombo 9,Single,8586,Available,"Wi-Fi, Pet-Friendly, Air Conditioning, Laundry, Gym",3.1,6.6,Are there any boarding houses near Battaramulla?
BD584,Colombo 3,Shared,8575,Available,"Pet-Friendly, Wi-Fi, Air Conditioning, Laundry, Gym",1.7,4.6,Are there any boarding houses near Mount Lavinia?
BD585,Kohuwala,Single,13281,Available,"Laundry, Gym, Air Conditioning, Pool, Parking",3.9,2.2,Find a boarding house with Air Conditioning and Parking.
BD586,Colombo 8,Double,14665,Available,"Gym, Wi-Fi, Laundry, Pool, Parking",2.8,2.5,Show me boarding houses with a rating of 3 stars.
BD587,Pannipitiya,Shared,10411,Occupied,"Wi-Fi, Parking",3.6,8.4,Show me boarding houses with a rating of 2 stars.
BD588,Colombo 6,Double,8581,Occupied,"Pool, Wi-Fi, Pet-Friendly",3.2,8.9,Are there any boarding houses near Thalahena?
BD589,Colombo 4,Single,13567,Occupied,"Pet-Friendly, Parking, Pool, Laundry",1.2,7.5,Show me boarding houses with a rating of 3 stars.
BD590,Ethul Kotte,Double,11255,Occupied,"Parking, Wi-Fi",4.1,9.1,Find a boarding house with Attach Bathroom and Gym.
BD591,Narahenpita,Shared,14166,Available,"Gym, Parking",3.8,9.7,Are there any boarding houses near Colombo 1?
BD592,Mount Lavinia,Single,8056,Occupied,"Wi-Fi, Pet-Friendly, Laundry, Parking, Air Conditioning",3.3,3.1,Are there any boarding houses near Mount Lavinia?
BD593,Borella,Single,14258,Occupied,"Pet-Friendly, Air Conditioning, Laundry",1.2,4.7,Give me details about Wi-Fi.
BD594,Kirulapone,Shared,10001,Available,"Parking, Laundry",2.9,5.7,Show me boarding houses with a rating of 1 stars.
BD595,Battaramulla,Shared,9823,Available,"Pet-Friendly, Parking, Wi-Fi, Laundry",4.8,4.5,Find a boarding house with Parking and Laundry.
BD596,Thalawathugoda,Double,12786,Available,"Pool, Pet-Friendly, Air Conditioning, Wi-Fi",3.2,4.8,Show me boarding houses with a rating of 3 stars.
BD597,Piliyandala,Single,12415,Available,"Pool, Gym, Laundry, Pet-Friendly",2.3,5.2,Are there any boarding houses near Colombo 1?
BD598,Battaramulla,Double,8186,Available,"Wi-Fi, Gym, Laundry, Pet-Friendly",4,7.9,Are there any boarding houses near Horizon Campus?
BD599,Pelawatte,Double,12430,Occupied,"Gym, Pool, Air Conditioning",1,2.4,Find a boarding house with Parking and Air Conditioning.
BD600,Kohuwala,Shared,14859,Occupied,"Pet-Friendly, Laundry",2.4,6.7,Show me boarding houses with a rating of 2 stars.
BD601,Colombo 1,Single,8967,Occupied,"Laundry, Pet-Friendly",1,1,Show me boarding houses with a rating of 1 stars.
BD602,Battaramulla,Shared,9845,Available,"Gym, Air Conditioning, Parking",1.1,6.3,Are there any boarding houses near NSBM?
BD603,Colombo 3,Single,8718,Available,"Pet-Friendly, Pool",2.6,4,Show me boarding houses with a rating of 2 stars.
BD604,Wellawatte,Shared,8051,Occupied,"Gym, Pool",4.2,9.5,Show me boarding houses with a rating of 3 stars.
BD605,Angoda,Shared,13728,Occupied,"Parking, Wi-Fi, Pet-Friendly",1.6,1.4,Find a boarding house with Laundry and Parking.
BD606,Ethul Kotte,Single,10343,Available,"Air Conditioning, Gym, Laundry",2.5,6.2,Show me boarding houses with a rating of 3 stars.
BD607,Talangama,Shared,14756,Occupied,"Laundry, Gym, Parking",3.5,8,Show me boarding houses with a rating of 2 stars.
BD608,Maharagama,Single,8312,Occupied,"Pet-Friendly, Gym, Pool",3.2,3,Show me boarding houses with a rating of 5 stars.
BD609,Colombo 9,Single,13745,Occupied,"Gym, Laundry, Air Conditioning, Pet-Friendly",4.5,2.2,Find a boarding house with Gym and Study/Workspace.
BD610,Wellawatte,Shared,11913,Occupied,"Wi-Fi, Gym, Laundry",4.4,3.6,Show me boarding houses with a rating of 5 stars.
BD611,Colombo 5,Shared,12906,Available,"Laundry, Pool",1.4,7.1,Are there any boarding houses near Colombo 3?
BD612,Kalubowila,Single,13382,Available,"Gym, Parking, Pool",3.6,6.4,Are there any boarding houses near Pittugala?
BD613,Colombo 5,Shared,8585,Occupied,"Laundry, Air Conditioning",2.1,4.3,Show me boarding houses with a rating of 3 stars.
BD614,Kesbewa,Single,10939,Available,"Gym, Laundry, Wi-Fi, Parking",4.3,1.9,Find a boarding house with Parking and Parking.
BD615,Piliyandala,Shared,9742,Available,"Gym, Wi-Fi, Parking, Pet-Friendly, Air Conditioning",2.1,0.6,Show me boarding houses with a rating of 4 stars.
BD616,Colombo 3,Single,11963,Occupied,"Gym, Wi-Fi, Parking, Pool",2.3,3,Find a boarding house with Wi-Fi and Air Conditioning.
BD617,Colombo 9,Double,11222,Available,"Wi-Fi, Air Conditioning, Laundry, Parking, Pet-Friendly",4.5,2.8,Are there any boarding houses near NSBM?
BD618,Kaduwela,Shared,13643,Available,"Gym, Pool, Laundry, Pet-Friendly",2.3,3.3,Show me boarding houses with a rating of 1 stars.
BD619,Colombo 8,Shared,10368,Occupied,"Parking, Air Conditioning, Pool, Pet-Friendly",4.3,7.2,Find a boarding house with Gym and Parking.
BD620,Ratmalana,Shared,10085,Occupied,"Wi-Fi, Laundry, Gym, Pool",3.3,8,Find a boarding house with Air Conditioning and Study/Workspace.
BD621,Kolonnawa,Double,9122,Available,"Parking, Gym, Laundry, Wi-Fi, Air Conditioning",4.7,3.8,Show me boarding houses with a rating of 3 stars.
BD622,Moratuwa,Shared,10297,Available,"Pool, Laundry, Wi-Fi, Parking",1.7,4.8,Find a boarding house with Attach Bathroom and Laundry.
BD623,Homagama,Single,11982,Occupied,"Parking, Pet-Friendly, Pool",4.9,6,Show me boarding houses with a rating of 1 stars.
BD624,Colombo 7,Shared,12804,Available,"Parking, Laundry, Air Conditioning",4.2,2.9,Are there any boarding houses near SLIIT University?
BD625,Moratuwa,Shared,13970,Occupied,"Gym, Parking, Wi-Fi, Pool",4.4,2.3,Are there any boarding houses near Battaramulla?
BD626,Colombo 10,Double,14014,Occupied,"Air Conditioning, Wi-Fi, Parking, Pet-Friendly, Laundry",2.4,5,Show me boarding houses with a rating of 5 stars.
BD627,Colombo 5,Shared,14938,Occupied,"Parking, Pet-Friendly",2.9,3.3,Are there any boarding houses near Colombo 3?
BD628,Nugegoda,Shared,11751,Available,"Air Conditioning, Pool, Laundry, Parking, Gym",4,0.7,Are there any boarding houses near Thalahena?
BD629,Colombo 5,Double,12746,Available,"Wi-Fi, Gym, Air Conditioning, Pet-Friendly, Parking",4.8,8.7,Are there any boarding houses near Weliwita?
BD630,Colombo 7,Single,13808,Occupied,"Gym, Laundry",1.6,2.2,Show me boarding houses with a rating of 1 stars.
BD631,Colombo 4,Shared,10883,Available,"Pet-Friendly, Laundry, Parking",3,2.7,Are there any boarding houses near Colombo 1?
BD632,Wattala,Double,12338,Occupied,"Pool, Laundry",2.8,1.9,Show me boarding houses with a rating of 2 stars.
BD633,Kesbewa,Double,10822,Available,"Wi-Fi, Air Conditioning, Pool, Laundry, Pet-Friendly",2.9,1.3,Are there any boarding houses near Horizon Campus?
BD634,Colombo 7,Double,10687,Available,"Parking, Pool, Laundry, Pet-Friendly, Wi-Fi",2.2,3.7,Find a boarding house with Wi-Fi and Wi-Fi.
BD635,Kolonnawa,Double,11318,Available,"Pool, Air Conditioning, Wi-Fi, Laundry",2.7,6.2,Show me boarding houses with a rating of 5 stars.
BD636,Wattala,Single,11531,Available,"Parking, Air Conditioning, Pet-Friendly, Gym",4.3,6.2,Are there any boarding houses near Biyagama?
BD637,Pelawatte,Shared,11574,Occupied,"Laundry, Pool, Parking, Air Conditioning, Pet-Friendly",1.5,3.9,Show me boarding houses with a rating of 2 stars.
BD638,Maharagama,Double,8694,Occupied,"Parking, Pet-Friendly",3.2,5.9,Are there any boarding houses near Horizon Campus?
BD639,Ethul Kotte,Single,8535,Occupied,"Laundry, Wi-Fi, Air Conditioning, Parking",1.5,3.2,Are there any boarding houses near Angoda?
BD640,Thimbirigasyaya,Shared,8082,Available,"Air Conditioning, Pool, Gym, Laundry, Parking",4.3,5.9,Find a boarding house with Air Conditioning and Air Conditioning.
BD641,Nawala,Double,12309,Available,"Parking, Air Conditioning, Pool, Laundry",3.6,9.1,Are there any boarding houses near Angoda?
BD642,Thimbirigasyaya,Double,11396,Available,"Wi-Fi, Pool, Gym, Pet-Friendly",2.6,2.2,Show me boarding houses with a rating of 1 stars.
BD643,Malabe,Single,8558,Occupied,"Parking, Pool, Gym",3.7,1.9,Find a boarding house with Study/Workspace and Attach Bathroom.
BD644,Colombo 7,Double,8491,Occupied,"Gym, Air Conditioning, Pool, Wi-Fi",1.4,1.4,Find a boarding house with Gym and Parking.
BD645,Angoda,Shared,8535,Available,"Parking, Pool",3.4,8.2,Find a boarding house with Air Conditioning and Kitchen.
BD646,Angoda,Double,10317,Occupied,"Pool, Wi-Fi, Parking",3.9,5.9,Show me boarding houses with a rating of 4 stars.
BD647,Pannipitiya,Shared,14792,Occupied,"Laundry, Gym",3.6,6,Find a boarding house with Kitchen and Study/Workspace.
BD648,Talangama,Double,12527,Occupied,"Gym, Air Conditioning, Pet-Friendly, Laundry",3.7,8.7,Show me boarding houses with a rating of 3 stars.
BD649,Homagama,Shared,12776,Occupied,"Pet-Friendly, Gym, Pool",3.5,9.9,Show me boarding houses with a rating of 1 stars.
BD650,Ratmalana,Double,12970,Occupied,"Pet-Friendly, Gym, Air Conditioning, Pool",4.5,3.7,Are there any boarding houses near Horizon Campus?
BD651,Thimbirigasyaya,Double,14792,Available,"Air Conditioning, Wi-Fi",4.7,7.9,Show me boarding houses with a rating of 2 stars.
BD652,Wattala,Shared,14485,Available,"Pool, Gym, Wi-Fi",3,1.6,Show me boarding houses with a rating of 4 stars.
BD653,Hokandara,Single,10139,Occupied,"Pool, Gym, Laundry, Wi-Fi",1.2,8.9,Show me boarding houses with a rating of 2 stars.
BD654,Angoda,Single,10726,Available,"Parking, Laundry, Pet-Friendly, Wi-Fi",1.3,4.5,Are there any boarding houses near Angoda?
BD655,Wellawatte,Single,14666,Available,"Pool, Wi-Fi",4.4,2.5,Are there any boarding houses near Biyagama?
BD656,Kolonnawa,Double,9290,Available,"Parking, Laundry, Pool",1.4,5.7,Find a boarding house with Air Conditioning and Attach Bathroom.
BD657,Maharagama,Shared,9818,Available,"Pet-Friendly, Parking, Air Conditioning, Laundry, Pool",3.2,7.3,Are there any boarding houses near Malabe?
BD658,Hokandara,Shared,11034,Available,"Gym, Air Conditioning",1.9,2.1,Are there any boarding houses near Angoda?
BD659,Ethul Kotte,Double,12861,Available,"Gym, Parking, Pet-Friendly",4.4,0.9,Show me boarding houses with a rating of 1 stars.
BD660,Homagama,Shared,11645,Occupied,"Parking, Air Conditioning, Gym, Pet-Friendly, Pool",2.7,6.8,Are there any boarding houses near Pittugala?
BD661,Colombo 7,Double,9552,Available,"Pet-Friendly, Air Conditioning, Wi-Fi",1.9,6.2,Find a boarding house with Parking and Attach Bathroom.
